MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368119840,2023-06-30T04:27:30,29.28356,-94.85718,0.0,35.3,65.0,WRAPPED UP,IMO0000000,,37,,0,0,,,B
367666920,2023-06-30T04:28:14,29.24570,-95.00906,5.0,50.1,48.0,BILL SEYMOUR,,WDH9328,31,12,27,,,31,A
245261000,2023-06-30T04:26:08,29.30740,-94.82266,0.0,206.4,212.0,SPUIGRACHT,IMO9202534,PBBB,70,5,173,25,10.6,70,A
366845050,2023-06-30T04:26:20,29.31224,-94.80254,0.0,317.7,511.0,ERIN T,,WDII,60,0,29,7,,40,A
367157150,2023-06-30T04:28:52,29.29400,-94.85767,0.0,245.9,511.0,RMS CITATION,IMO8033584,WDG5250,90,5,50,12,3.4,25,A
368272520,2023-06-30T04:24:16,29.17245,-95.11432,4.3,75.2,74.0,ALYS,,WDN3530,31,12,23,9,3.4,57,A
367016010,2023-06-30T04:29:05,29.31200,-94.80335,0.0,360.0,511.0,HENRY T,,WDC3903,31,0,15,7,,31,A
338468415,2023-06-30T04:26:51,29.28008,-94.87595,0.0,360.0,511.0,GOOD NEWS,IMO0000000,,37,,17,6,,,B
367473550,2023-06-30T04:29:04,29.30646,-94.87818,4.6,47.2,511.0,ST CHARLES,,WDF6371,31,12,23,10,,52,A
368113430,2023-06-30T04:28:20,29.30855,-94.82147,0.0,85.0,194.0,BRANDON T. PASENTINE,,WDL2583,32,5,32,10,2.8,31,A
366845060,2023-06-30T04:29:25,29.31224,-94.80235,0.0,315.5,511.0,ASHTON T,,WDIJ,90,5,28,7,,60,A
316031199,2023-06-30T04:28:34,29.29427,-94.96900,0.0,62.0,511.0,OASIS,IMO0000000,CFN7388,36,,14,4,,,B
368148180,2023-06-30T04:27:35,29.30764,-94.82128,0.0,201.1,194.0,KAMI RENEE,,WDL6178,52,12,22,10,3.3,52,A
338168501,2023-06-30T04:27:55,29.29424,-94.85713,0.0,294.7,511.0,HPA FIREBOAT 3,,,90,0,,,,51,A
367016010,2023-06-30T04:27:56,29.31200,-94.80334,0.0,360.0,511.0,HENRY T,,WDC3903,31,0,15,7,,31,A
367032830,2023-06-30T04:28:49,29.31234,-94.80471,0.0,306.4,511.0,DULARGE,IMO8767575,WCS8769,90,1,30,14,,39,A
367125100,2023-06-30T04:28:54,29.32055,-94.85912,0.7,226.0,511.0,CAPT TOM ECHOLS SR,,WDC3771,31,12,20,7,,31,A
365973420,2023-06-30T04:27:56,29.29989,-94.88405,7.7,25.9,511.0,CHARLES ALFRED,,WYU9726,31,0,16,6,0.0,31,A
367016010,2023-06-30T04:30:15,29.31200,-94.80335,0.0,360.0,511.0,HENRY T,,WDC3903,31,0,15,7,,31,A
368272520,2023-06-30T04:31:16,29.17453,-95.10456,5.0,71.3,76.0,ALYS,,WDN3530,31,12,23,9,3.4,57,A
366874110,2023-06-30T04:28:23,29.31232,-94.80426,0.0,308.4,511.0,PETITE,IMO8769810,WDB2268,90,0,22,17,1.7,99,A
368071410,2023-06-30T04:31:44,29.11385,-95.19375,3.4,222.0,226.0,BILLY CENAC,,WDK6121,52,12,21,11,3.0,52,A
338168501,2023-06-30T04:29:06,29.29427,-94.85711,0.0,299.0,511.0,HPA FIREBOAT 3,,,90,0,,,,51,A
245261000,2023-06-30T04:29:08,29.30739,-94.82267,0.0,206.4,212.0,SPUIGRACHT,IMO9202534,PBBB,70,5,173,25,10.6,70,A
367500410,2023-06-30T04:25:51,29.04433,-95.22480,4.8,203.8,196.0,RICHARD J DEVALL,,WDF8965,31,12,17,6,,31,A
367500410,2023-06-30T04:29:21,29.04004,-95.22662,4.8,201.4,198.0,RICHARD J DEVALL,,WDF8965,31,12,17,6,,31,A
367666920,2023-06-30T04:31:45,29.24926,-95.00537,4.9,36.5,40.0,BILL SEYMOUR,,WDH9328,31,12,27,,,31,A
368926309,2023-06-30T04:30:58,29.31272,-94.81783,0.0,309.8,511.0,R/V MANTA,,WZ 2603,0,5,30,12,1.5,0,A
367113150,2023-06-30T04:28:29,29.16368,-95.12933,6.4,233.2,235.0,CHRIS PIKE,,WDD2269,31,0,26,9,,31,A
367008450,2023-06-30T04:30:47,29.22662,-95.02927,4.7,204.0,511.0,CAPT HERBERT,,WRG8848,31,0,19,7,,52,A
368611000,2023-06-30T04:30:16,29.29541,-94.85738,0.0,360.0,511.0,NEPTUNE,,WDG5258,90,5,32,7,,70,A
368052580,2023-06-30T04:31:17,29.30655,-94.82493,0.0,349.4,206.0,WOOD RIVER,IMO101233527,WDK4175,57,12,114,34,3.0,57,A
366874110,2023-06-30T04:29:33,29.31234,-94.80424,0.0,308.7,511.0,PETITE,IMO8769810,WDB2268,90,0,22,17,1.7,99,A
338744000,2023-06-30T04:29:19,29.29497,-94.85720,0.1,360.0,511.0,HERCULES,,WDG5248,90,5,32,7,,70,A
368119840,2023-06-30T04:30:31,29.28353,-94.85720,0.0,35.3,65.0,WRAPPED UP,IMO0000000,,37,,0,0,,,B
